timestamp,time,T_Block2_CorridorX2f,T_Block1_OfficeXSEX1f,Electricity,DistrictCooling,T_Block1_CorridorX1f,T_Block2_OfficeXNWX2f,T_Block1_OfficeXSWX1f,DNI,Wind_Direction,DistrictHeating,T_Block2_OfficeXNEX2f,T_Block2_OfficeXSEX2f,T_Block2_OfficeXSWX2f,T_Block1_OfficeXNWX1f,Wind_Speed,T_Block1_OfficeXNEX1f,T_out,reward
1994-09-28 04:00:00,23342400.0,26.81766298044662,26.9155717123397,1316474.31168,0.0,26.78370707666695,26.40584216025031,26.91557171234249,0.0,244.0,0.0,26.4058421602345,26.87221024471581,26.87221024471738,26.40882375689393,1.1,26.40882375689509,19.4,-1
1994-09-28 05:00:00,23346000.0,26.74706579202927,26.83435964329603,1316474.31168,0.0,26.73310309037504,26.31359997393815,26.83435964329853,0.0,272.0,0.0,26.31359997392134,26.77433706227382,26.77433706227494,26.33548618268268,0.7,26.3354861826831,19.1,-1
1994-09-28 06:00:00,23349600.0,26.69209803488592,26.77725398802283,1316474.31168,0.0,26.69799132169193,26.24743694672766,26.7772539880249,0.0,265.0,0.0,26.24743694671009,26.7017575974532,26.70175759745403,26.28684649966073,0.7,26.28684649966055,19.1,-1
1994-09-28 07:00:00,23353200.0,26.70323544158967,26.87483196272211,1316474.31168,0.0,26.7277988427087,26.30841546805027,26.87483196272404,308.0,241.0,0.0,26.30841546803222,26.79116609513878,26.79116609513909,26.35970164478747,0.9,26.3597016447867,20.1,-1
1994-09-28 08:00:00,23356800.0,26.76729936931083,27.17804803905934,2632948.62336,0.0,26.80558010843769,26.47117833129438,27.17804803906105,469.0,243.0,0.0,26.47117833127579,27.10385241369177,27.103852413692,26.52230791871881,0.6,26.52230791871735,21.5,-1
1994-09-28 09:00:00,23360400.0,26.87647092658281,27.68366975865939,2632948.62336,0.0,26.92511423167496,26.70438101101832,27.68366975866099,600.0,229.0,0.0,26.70438101099954,27.63462143188329,27.6346214318833,26.74911724401029,0.5,26.74911724400827,23.1,-1
1994-09-28 10:00:00,23364000.0,27.02347989845907,28.2417541867968,3949422.93504,0.0,27.07034670107671,26.93748967367211,28.2417541867985,662.0,229.0,0.0,26.9374896736533,28.22447317808547,28.22447317808513,26.96671379135651,0.5,26.96671379135378,24.6,-1
1994-09-28 11:00:00,23367600.0,27.24066474072911,28.93170850381877,3949422.93504,0.0,27.2747442321045,27.27319668503591,28.93170850382011,614.0,256.0,0.0,27.27319668501852,28.99775547268176,28.99775547268116,27.27880300784405,0.7,27.2788030078407,26.0,-1
1994-09-28 12:00:00,23371200.0,27.4881785283586,29.47043112926661,3949422.93504,0.0,27.5002151445913,27.60888708801176,29.47043112926785,705.0,252.0,0.0,27.60888708799118,29.60988681318248,29.60988681318211,27.57746912834529,0.9,27.57746912833992,27.1,-1
1994-09-28 13:00:00,23374800.0,27.67001435136616,31.64891340677251,10531794.49344,0.0,27.63483025251006,28.09126509891047,31.64891340677397,732.0,236.0,0.0,28.09126509889084,31.84889686616711,31.8488968661668,28.01552150789031,1.3,28.01552150788365,27.9,-1
